net_store,city,address,name,regular_price,prom_price,discount,link_to_image
Magnit,Москва,"Москва г, Пулковская ул, 2, помещ 4Н",Напиток молочно-соковый Мажитэль Персик-маракуйя 950г,"109,99",-,-,https://img-dostavka.magnit.ru/resize/416x416/uf/912/9125243d28d0edc94d6ec6bb84ee9787/c736bdd74021cf9f389759216ed46552.jpeg
Magnit,Москва,"Москва г, Пулковская ул, 2, помещ 4Н",Напиток молочно-соковый Мажитэль Клубника 950г,"109,99",-,-,https://img-dostavka.magnit.ru/resize/416x416/uf/0b3/0b33d410b61a4ede0a7f357af6d938d8/2b1e762a6ee5e48396a95cc47064d286.jpeg
Magnit,Москва,"Москва г, Пулковская ул, 2, помещ 4Н",Масло сливочное Щедрая Русь шоколадное 62% 170г,"109,99",-,-,https://img-dostavka.magnit.ru/resize/416x416/uf/a0b/a0b2757ad058142136df7d4f8fdd11a3/bf4b2c02bf52495df99788a9c1afe904.jpeg
Magnit,Москва,"Москва г, Пулковская ул, 2, помещ 4Н",Кефир Молочная легенда термостатный 3.2-4.5% 900мл,"109,99",-,-,https://img-dostavka.magnit.ru/resize/416x416/uf/e89/e89167b46faf133f5b3a38becc59d2aa/083307287e6b95f65a218e04f597060a.jpeg
Magnit,Москва,"Москва г, Пулковская ул, 2, помещ 4Н",Молоко Домик в деревне пастеризованное 2.5% 1.4л,"109,99",-,-,https://img-dostavka.magnit.ru/resize/416x416/uf/ac5/ac590c3407a71a48e77d811c9319b4e5/7c38ef46d0b3662ab4c4d031f53b0152.png
Magnit,Москва,"Москва г, Пулковская ул, 2, помещ 4Н",Творог Простоквашино 9% 200г,"109,99",-,-,https://img-dostavka.magnit.ru/resize/416x416/uf/69c/69cb43a6eed32b0020406bac738f2a55/6691f5395832e72736f3a84fc69f3114.jpeg
Magnit,Москва,"Москва г, Пулковская ул, 2, помещ 4Н",Творог Эконива 5% 300г,"152,99","109,99",28,https://img-dostavka.magnit.ru/resize/416x416/uf/b5c/b5ca74800c714fa99ff3275c201b1aac/d155a658fb05eec3862cdcab1a31e4bc.jpeg
Magnit,Москва,"Москва г, Пулковская ул, 2, помещ 4Н",Майонез Ряба Провансаль-Н 40% 630г,"153,99","109,99",28,https://img-dostavka.magnit.ru/resize/416x416/uf/712/712187b3af96d9c4b066ddb40d4404ec/ad12fc11ac199f9f1731be83fb5ef92d.png
Magnit,Москва,"Москва г, Пулковская ул, 2, помещ 4Н",Напиток молочно-соковый Мажитэль Ананас и манго 950г,"109,99",-,-,https://img-dostavka.magnit.ru/resize/416x416/uf/b96/b963edb6970fbc88d5d2f974d14ed5f6/ff4ccbf59dbf09df3a78a0a82952036b.jpeg
Magnit,Москва,"Москва г, Пулковская ул, 2, помещ 4Н",Творог Савушкин Традиционный 5% 300г,"107,99",-,-,https://img-dostavka.magnit.ru/resize/416x416/uf/07d/07d2cbfc9ae4e02240946131fe576c22/4c840716e49992c9266cce2678e75bfa.png
Magnit,Москва,"Москва г, Пулковская ул, 2, помещ 4Н",Майонез Я люблю готовить Московский провансаль 67% 390мл,"104,99",-,-,https://img-dostavka.magnit.ru/resize/416x416/uf/0f0/0f01544386629ee241ffc2d00957f88e/5a9675467ec468aa72e0c608ccea0235.jpeg
Magnit,Москва,"Москва г, Пулковская ул, 2, помещ 4Н",Творог Село Зеленое 5% 300г,"104,99",-,-,https://img-dostavka.magnit.ru/resize/416x416/uf/ebd/ebd48f81ee5d31240b8905e8c9df73f4/de13ea9cb07b20430daf0c5c45150afb.jpeg
Magnit,Москва,"Москва г, Пулковская ул, 2, помещ 4Н",Яйца С1 10шт цвет в ассортименте,"103,99",-,-,https://img-dostavka.magnit.ru/resize/416x416/uf/1c7/1c76d7bbaecf9f451b1fb21446658051/3f58824607f77c0209ce2aec8b5f6c97.png
Magnit,Москва,"Москва г, Пулковская ул, 2, помещ 4Н",Молоко детское Агуша ультрапастеризованное 3.2% 925мл,"101,99",-,-,https://img-dostavka.magnit.ru/resize/416x416/uf/82a/82a0a7384c5c4b761a88973e742a2191/576f97bd06516e365e9600a0dbefc546.png
Magnit,Москва,"Москва г, Пулковская ул, 2, помещ 4Н",Масса творожная Ростагроэкспорт Особая с изюмом 23% 180г ,"101,99",-,-,https://img-dostavka.magnit.ru/resize/416x416/uf/a74/a741d115b5ce0e666289e45fd710810e/ee0bee83db93d7299a06640c3f9c5118.png
Magnit,Москва,"Москва г, Пулковская ул, 2, помещ 4Н",Сливки Я люблю готовить ультрапастеризованные 10% 500мл,"99,99",-,-,https://img-dostavka.magnit.ru/resize/416x416/uf/254/254e25c85378062f470feb35dfdc83b7/b24ceb35c9cbf1b448a177452c0fa583.jpeg
Magnit,Москва,"Москва г, Пулковская ул, 2, помещ 4Н",Напиток Nemoloko гречневый 1л,"129,99","99,99",23,https://img-dostavka.magnit.ru/resize/416x416/uf/9ac/9ac8e1ae2aab8a89e6b8d7f1853eb9b2/494bda2bd1de06947d21e1fc45b920b4.jpeg
Magnit,Москва,"Москва г, Пулковская ул, 2, помещ 4Н",Напиток Green Milk соевый Банан 1л,"99,99",-,-,https://img-dostavka.magnit.ru/resize/416x416/uf/11b/11b7eb70dc4b5253dd8919f968be2cba/e76a6a81a297c152ed844b425bd2b6f6.jpeg
Magnit,Москва,"Москва г, Пулковская ул, 2, помещ 4Н",Молоко сгущенное Магнит цельное с сахаром 360г,"119,99","99,99",16,https://img-dostavka.magnit.ru/resize/416x416/uf/b7d/b7d4a7709d6d3da598f8f494ed07089e/bfd2699955e8c3db09f5f7860549d230.png
Magnit,Москва,"Москва г, Пулковская ул, 2, помещ 4Н",Пудинг молочный Grand Dessert Белый шоколад с клубничным муссом 6% 200г,"99,99",-,-,https://img-dostavka.magnit.ru/resize/416x416/uf/64d/64d3b26310e5cb6ea6f7651e21d9b71a/1fc65c4d8a951cf7b86ac439d88c778e.jpeg
Magnit,Москва,"Москва г, Пулковская ул, 2, помещ 4Н",Творог Простоквашино 5% 200г,"99,99",-,-,https://img-dostavka.magnit.ru/resize/416x416/uf/bef/beffe767f3d49ea00f7ab3e3cbedeea7/8784357052e79c805a2f735cfffac2c7.jpeg
Magnit,Москва,"Москва г, Пулковская ул, 2, помещ 4Н",Напиток кисломолочный Фругурт со вкусом клубники 1.5% 950г,"99,99",-,-,https://img-dostavka.magnit.ru/resize/416x416/uf/201/201193889527cfd2c104852da00cfca7/6e02c6b79a21694d2b22bad99064e358.jpeg
Magnit,Москва,"Москва г, Пулковская ул, 2, помещ 4Н",Творог Карат зерненый 4% 300г,"134,99","99,99",25,https://img-dostavka.magnit.ru/resize/416x416/uf/bf1/bf16056503ef9daac4d83bdce29e2373/28e431ffc1b24d5470dd0d54d30db457.png
Magnit,Москва,"Москва г, Пулковская ул, 2, помещ 4Н",Яйцо столовое С2 10шт,"99,99",-,-,https://img-dostavka.magnit.ru/resize/416x416/uf/28a/28acb8237fe7c3d949dd2afb582a16b5/4d8dc9dfb19f43f1e76c9240bbdc2918.png
